summary_id,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total,total_time,total_charge_mC,total_charge_mAh,total_energy_mJ
0,3311,78680,0,0,81982,81982,81991,46.27936242675781,0.012855378451877168,138.8380872802734
1,39386,779811,0,527,388,915,819197,3.2823750946044927,0.0009117708596123591,9.847125283813478
2,40239,778961,0,530,388,918,819200,3.3301477691650394,0.0009250410469902888,9.990443307495118
3,39830,779370,0,530,389,919,819200,3.308568023681641,0.0009190466732449002,9.925704071044922
4,40221,778979,0,530,388,918,819200,3.329173336791993,0.0009247703713311091,9.98752001037598
5,39691,779509,0,529,389,918,819200,3.30051223449707,0.000916808954026964,9.90153670349121
6,40209,778992,0,529,389,918,819201,3.3285550292968753,0.000924598619249132,9.985665087890625
7,39664,779536,0,530,390,920,819200,3.3001431152343748,0.0009167064208984374,9.900429345703124
8,40320,778879,0,527,389,916,819199,3.3335004241943356,0.0009259723400539821,10.000501272583007
9,39653,779547,0,526,390,916,819200,3.2974236053466806,0.0009159510014851891,9.892270816040043
10,40633,778567,0,527,390,917,819200,3.351007040405274,0.000930835289001465,10.05302112121582
11,39508,779692,0,528,390,918,819200,3.2906360229492186,0.0009140655619303386,9.871908068847656
12,40667,778533,0,528,390,918,819200,3.3533786407470707,0.0009314940668741864,10.060135922241212
13,39649,779551,0,528,390,918,819200,3.298269076538086,0.0009161858545939128,9.894807229614258
